subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll
0,1,24,1,1.0,-1.0,1.0,numberbar_neg,-0.749271466107449,0.8768763018220528
0,1,25,1,1.0,-1.0,1.0,numberbar_neg,-0.32855088576408653,0.6736442297665104
0,1,26,1,1.0,-1.0,1.0,numberbar_neg,-0.14406752348004925,0.5452895131799127
0,1,27,0,0.0,0.0,1.0,numberbar_neg,0.9176431879491083,0.5141141605771027
0,1,28,0,0.0,0.0,1.0,numberbar_neg,0.40238084039466715,0.8282441186696116
0,1,29,0,0.0,0.0,1.0,numberbar_neg,0.17644150018547078,0.9036386647578587
0,1,30,0,0.0,0.0,1.0,numberbar_neg,0.07736850233019217,0.9262158052607316
0,1,31,0,0.0,0.0,1.0,numberbar_neg,0.03392560790134261,0.9344928232660527
0,1,32,0,0.0,0.0,1.0,numberbar_neg,0.014876168425280428,0.9378430223326643
0,1,33,0,0.0,0.0,1.0,numberbar_neg,0.006523107490390832,0.9392610427937724
0,1,34,0,0.0,0.0,1.0,numberbar_neg,0.0028603421334543583,0.939873246016567
0,2,0,1,1.0,1.0,0.0,numberbar_pos,0.5,0.5
0,2,1,0,0.0,0.0,0.0,numberbar_pos,-0.5,0.3043974106348551
0,2,2,1,1.0,0.0,0.0,numberbar_pos,-0.7807531044315981,0.8392810939503969
0,2,3,1,1.0,1.0,0.0,numberbar_pos,0.6576446112959596,0.5896190393545517
0,2,4,1,1.0,1.0,0.0,numberbar_pos,0.2883730788278551,0.8099067113075267
0,2,5,0,0.0,0.0,0.0,numberbar_pos,-0.21924689556840193,0.12718812517436104
0,2,6,1,1.0,1.0,0.0,numberbar_pos,0.1264498045970186,0.9079153998229278
0,2,7,1,1.0,1.0,0.0,numberbar_pos,0.05544745420625474,0.9239629282755096
0,2,8,1,1.0,1.0,0.0,numberbar_pos,0.024313364403784954,0.9301567332523268
0,2,9,1,1.0,1.0,0.0,numberbar_pos,0.01066125933270623,0.9327228032154332
0,2,10,1,1.0,1.0,0.0,numberbar_pos,0.004674896023091013,0.9338201966675675
0,2,11,1,1.0,1.0,0.0,numberbar_pos,0.0020499128803355138,0.9342961329065901
0,2,12,1,1.0,0.0,1.0,numberbar_pos,-0.9991011259296015,0.9345038228651695
0,2,13,0,0.0,1.0,1.0,numberbar_pos,0.9038615975672365,0.26764166478356954
0,2,14,0,0.0,1.0,1.0,numberbar_pos,0.3963376985802257,0.6194847375698905
0,2,15,0,0.0,1.0,1.0,numberbar_pos,0.173791620020879,0.7581317281357554
0,2,16,0,0.0,1.0,1.0,numberbar_pos,0.07620654633076207,0.8068580158942835
0,2,17,1,1.0,0.0,1.0,numberbar_pos,-0.43809964043792027,0.17426697142042893
0,2,18,0,0.0,1.0,1.0,numberbar_pos,0.033416097410018386,0.9071913074189546
0,2,19,0,0.0,1.0,1.0,numberbar_pos,0.014652751238315664,0.9117382521728521
0,2,20,0,0.0,1.0,1.0,numberbar_pos,0.006425140441073562,0.9136678870299777
0,2,21,0,0.0,0.0,1.0,numberbar_pos,-0.9971826158094073,0.9145019122251018
0,2,22,1,1.0,0.0,1.0,numberbar_pos,-0.19210397223129427,0.327028952901648
0,2,23,0,0.0,1.0,1.0,numberbar_pos,0.5627416143380181,0.7386917745885715
0,2,24,0,0.0,0.0,0.0,numberbar_pos,-0.7532412960984773,0.877539065240053
0,2,25,1,1.0,1.0,0.0,numberbar_pos,0.9157636009238604,0.32644562894793844
0,2,26,0,0.0,0.0,0.0,numberbar_pos,-0.3302916315670212,0.3123082413880484
0,2,27,0,0.0,0.0,0.0,numberbar_pos,-0.14483082970658356,0.2082864439661526
0,2,28,1,1.0,1.0,0.0,numberbar_pos,0.40155665315419464,0.8284489944011871
0,2,29,1,1.0,1.0,0.0,numberbar_pos,0.17608009919778944,0.9036455073118085
0,2,30,1,1.0,1.0,0.0,numberbar_pos,0.07721003024098316,0.9261803445252687
0,2,31,1,1.0,1.0,0.0,numberbar_pos,0.03385611887415596,0.9344450152211661
0,2,32,1,1.0,1.0,0.0,numberbar_pos,0.014845697918306922,0.937790796194215
0,2,33,1,1.0,1.0,0.0,numberbar_pos,0.006509746362270197,0.9392070552903882
0,2,34,1,1.0,1.0,0.0,numberbar_pos,0.0028544833617308862,0.9398185187242795
