subject,block,trial,choices,choices_L,outcomes,opt_act,blocks,pe,choice_nll
0,0,0,1,1.0,-1.0,1.0,numberbar_mixed,-1.5,0.5
0,0,1,1,1.0,-1.0,1.0,numberbar_mixed,-0.5517440681033094,0.22931887725663364
0,0,2,1,1.0,-1.0,1.0,numberbar_mixed,-0.2029476777914596,0.16002666589477854
0,0,3,1,1.0,1.0,1.0,numberbar_mixed,1.925349881762147,0.13919008209729603
0,0,4,1,1.0,-1.0,1.0,numberbar_mixed,-1.2917997491428848,0.43385407538441945
0,0,5,1,1.0,-1.0,1.0,numberbar_mixed,-0.4751618991779534,0.21247736837726075
0,0,6,1,1.0,-1.0,1.0,numberbar_mixed,-0.17477850617342572,0.15524547578890124
0,0,7,1,1.0,-1.0,1.0,numberbar_mixed,-0.06428866934209687,0.13761067532767127
0,0,8,1,1.0,-1.0,1.0,numberbar_mixed,-0.023647261303837985,0.1315605721242141
0,0,9,1,1.0,-1.0,1.0,numberbar_mixed,-0.00869815743418767,0.12939259296460173
0,0,10,1,1.0,1.0,1.0,numberbar_mixed,1.9968005621548388,0.12860283048749038
0,0,11,1,1.0,-1.0,1.0,numberbar_mixed,-1.2655180897638092,0.42562113701858745
0,0,12,1,1.0,1.0,0.0,numberbar_mixed,1.534505267263591,0.21041690991055434
0,0,13,1,1.0,1.0,0.0,numberbar_mixed,0.5644361191239801,0.4794193663465966
0,0,14,1,1.0,1.0,0.0,numberbar_mixed,0.20761618703327267,0.5923662389694974
0,0,15,1,1.0,1.0,0.0,numberbar_mixed,0.07636733309189025,0.6321687635075974
0,0,16,1,1.0,1.0,0.0,numberbar_mixed,0.02809014868687998,0.6463983972491781
0,0,17,1,1.0,1.0,0.0,numberbar_mixed,0.010332381940084012,0.6515694408261532
0,0,18,1,1.0,1.0,0.0,numberbar_mixed,0.0038005536298794107,0.6534626330650255
0,0,19,1,1.0,1.0,0.0,numberbar_mixed,0.0013979552805296613,0.6541577883417004
0,0,20,1,1.0,1.0,0.0,numberbar_mixed,0.0005142090223373419,0.6544133214849999
0,0,21,1,1.0,1.0,0.0,numberbar_mixed,0.00018914118522650458,0.6545072916653483
0,0,22,1,1.0,1.0,0.0,numberbar_mixed,6.95716846551564e-05,0.6545418536234355
0,0,23,1,1.0,1.0,0.0,numberbar_mixed,2.559050954431541e-05,0.6545545661162813
0,0,24,1,1.0,-1.0,1.0,numberbar_mixed,-1.9999905870587726,0.6545592420890514
0,0,25,1,1.0,-1.0,1.0,numberbar_mixed,-0.7356552951147558,0.27347426693172316
0,0,26,1,1.0,-1.0,1.0,numberbar_mixed,-0.27059563016557076,0.17199484084686167
0,0,27,1,1.0,1.0,1.0,numberbar_mixed,1.9004669774676461,0.14304510930228168
0,0,28,1,1.0,1.0,1.0,numberbar_mixed,0.6990475876293333,0.43673005383984664
0,0,29,1,1.0,-1.0,1.0,numberbar_mixed,-1.7428697601357246,0.5769979909627624
0,0,30,1,1.0,1.0,1.0,numberbar_mixed,1.3589212989123174,0.2501215372276109
0,0,31,1,1.0,-1.0,1.0,numberbar_mixed,-1.5001488228705897,0.5000475602895855
0,0,32,1,1.0,-1.0,1.0,numberbar_mixed,-0.5517988095273402,0.229331244521178
0,0,33,1,1.0,-1.0,1.0,numberbar_mixed,-0.202967813295452,0.1600301257582901
0,0,34,1,1.0,-1.0,1.0,numberbar_mixed,-0.07465752466777709,0.13919121648304125
0,1,0,1,1.0,0.0,1.0,numberbar_neg,-0.5,0.5
0,1,1,1,1.0,-1.0,1.0,numberbar_neg,-1.18391468936777,0.4003387787624151
0,1,2,1,1.0,0.0,1.0,numberbar_neg,0.5645213953339738,0.20411290822407957
0,1,3,1,1.0,0.0,1.0,numberbar_neg,0.20764755412861557,0.2881081508519401
0,1,4,1,1.0,-1.0,1.0,numberbar_neg,-0.9236211291689169,0.3237068021727657
0,1,5,1,1.0,-1.0,1.0,numberbar_neg,-0.3397349861292205,0.1849485359816347
0,1,6,1,1.0,-1.0,1.0,numberbar_neg,-0.12496450888263833,0.1470766216381558
0,1,7,1,1.0,-1.0,1.0,numberbar_neg,-0.0459656176662927,0.13485455822633138
0,1,8,1,1.0,0.0,1.0,numberbar_neg,0.9830924954106122,0.13057935471430926
0,1,9,1,1.0,0.0,1.0,numberbar_neg,0.3616103018264568,0.24947737574183074
0,1,10,1,1.0,-1.0,1.0,numberbar_neg,-0.8669891073348034,0.3080649230772158
0,1,11,1,1.0,-1.0,1.0,numberbar_neg,-0.31890406472144084,0.18096814670595693
0,1,12,1,1.0,0.0,0.0,numberbar_neg,0.8826977159972741,0.14585217112509422
0,1,13,1,1.0,0.0,0.0,numberbar_neg,0.3246821524865572,0.25842015060581464
0,1,14,1,1.0,-1.0,0.0,numberbar_neg,-0.8805723655643519,0.311778438174099
0,1,15,1,1.0,-1.0,0.0,numberbar_neg,-0.32390038615722005,0.1819167234000905
0,1,16,1,1.0,0.0,0.0,numberbar_neg,0.8808599221875884,0.1461450842332404
0,1,17,1,1.0,0.0,0.0,numberbar_neg,0.3240061579312964,0.25858578592284415
0,1,18,1,1.0,0.0,0.0,numberbar_neg,0.1191789837783579,0.3118466445145924
0,1,19,1,1.0,0.0,0.0,numberbar_neg,0.04383753156152634,0.33287936269785845
0,1,20,1,1.0,0.0,0.0,numberbar_neg,0.016124731999575845,0.3407923336571497
0,1,21,1,1.0,0.0,0.0,numberbar_neg,0.005931150153681059,0.3437257211305506
0,1,22,1,1.0,0.0,0.0,numberbar_neg,0.0021816512762157046,0.3448077280435863
0,1,23,1,1.0,0.0,0.0,numberbar_neg,0.0008024754335480199,0.34520612768003506
0,1,24,1,1.0,-1.0,1.0,numberbar_neg,-0.9997048259598275,0.34535272551140045
0,1,25,1,1.0,-1.0,1.0,numberbar_neg,-0.3677208050517241,0.19040215188951382
0,1,26,1,1.0,-1.0,1.0,numberbar_neg,-0.1352585152703082,0.14873501749173967
0,1,27,1,1.0,-1.0,1.0,numberbar_neg,-0.04975205564056895,0.1354202603423659
0,1,28,1,1.0,-1.0,1.0,numberbar_neg,-0.018300267717086482,0.13078161105774472
0,1,29,1,1.0,-1.0,1.0,numberbar_neg,-0.006731376105070019,0.12910963758380176
0,1,30,1,1.0,-1.0,1.0,numberbar_neg,-0.0024759978907631375,0.12849923166949775
0,1,31,1,1.0,-1.0,1.0,numberbar_neg,-0.0009107447659099099,0.12827532612740059
0,1,32,1,1.0,-1.0,1.0,numberbar_neg,-0.00033499868143127554,0.12819305083269394
0,1,33,1,1.0,-1.0,1.0,numberbar_neg,-0.00012322235686812455,0.12816279888725776
0,1,34,1,1.0,-1.0,1.0,numberbar_neg,-4.532480297314567e-05,0.12815167286498078
0,2,0,1,1.0,0.0,0.0,numberbar_pos,-0.5,0.5
0,2,1,1,1.0,1.0,0.0,numberbar_pos,0.8160853106322301,0.4003387787624151
0,2,2,1,1.0,1.0,0.0,numberbar_pos,0.30018015280505317,0.5635127751878233
0,2,3,1,1.0,1.0,0.0,numberbar_pos,0.11041507911502202,0.6219912583236341
0,2,4,1,1.0,1.0,0.0,numberbar_pos,0.04061390995391401,0.6427306969195885
0,2,5,1,1.0,1.0,0.0,numberbar_pos,0.014938989266369385,0.6502313688134623
0,2,6,1,1.0,0.0,0.0,numberbar_pos,-0.9945050008592144,0.6529719766765507
0,2,7,1,1.0,1.0,0.0,numberbar_pos,0.6341918433845678,0.4572202918019247
0,2,8,1,1.0,1.0,0.0,numberbar_pos,0.23327439175129228,0.5844229535313015
0,2,9,1,1.0,0.0,0.0,numberbar_pos,-0.9141948254072112,0.6293589538353698
0,2,10,1,1.0,1.0,0.0,numberbar_pos,0.6637322853272204,0.44786519327451796
0,2,11,1,1.0,1.0,0.0,numberbar_pos,0.2441402341586314,0.5810455760989947
0,2,12,1,1.0,0.0,1.0,numberbar_pos,-0.9101980493450814,0.6281663869994144
0,2,13,1,1.0,0.0,1.0,numberbar_pos,-0.3347975830169013,0.4474005273808243
0,2,14,1,1.0,0.0,1.0,numberbar_pos,-0.12314838696326708,0.3818433038132896
0,2,15,1,1.0,0.0,1.0,numberbar_pos,-0.045297594668982366,0.35864529914594023
0,2,16,1,1.0,0.0,1.0,numberbar_pos,-0.016661786105306078,0.35026965824437195
0,2,17,1,1.0,1.0,1.0,numberbar_pos,0.9938713055682609,0.3472116045093062
0,2,18,1,1.0,0.0,1.0,numberbar_pos,-0.6344249351297468,0.5428536525930554
0,2,19,1,1.0,0.0,1.0,numberbar_pos,-0.23336012974310982,0.41560366542036964
0,2,20,1,1.0,1.0,1.0,numberbar_pos,0.914163288454947,0.37065045008016095
0,2,21,1,1.0,0.0,1.0,numberbar_pos,-0.6637438855447789,0.5521384735746161
0,2,22,1,1.0,1.0,1.0,numberbar_pos,0.7558554989405508,0.41895575167612165
0,2,23,1,1.0,0.0,1.0,numberbar_pos,-0.7219741414108558,0.5704655569952801
0,2,24,1,1.0,1.0,0.0,numberbar_pos,0.7344367001017202,0.42563526545522795
0,2,25,1,1.0,1.0,0.0,numberbar_pos,0.27014739511899566,0.5729315508584245
0,2,26,1,1.0,0.0,0.0,numberbar_pos,-0.9006318514863555,0.6253056806330407
0,2,27,1,1.0,1.0,0.0,numberbar_pos,0.6687211455983351,0.4462887340479437
0,2,28,1,1.0,1.0,0.0,numberbar_pos,0.245975283532754,0.5804744369725403
0,2,29,1,1.0,1.0,0.0,numberbar_pos,0.09047693572615112,0.6279648288712647
0,2,30,1,1.0,1.0,0.0,numberbar_pos,0.03328007505804553,0.6448805400376131
0,2,31,1,1.0,1.0,0.0,numberbar_pos,0.012241389332872998,0.6510152238689729
0,2,32,1,1.0,0.0,0.0,numberbar_pos,-0.9954972573668295,0.6532593414537085
0,2,33,1,1.0,1.0,0.0,numberbar_pos,0.6338268622898254,0.4573360796373752
0,2,34,1,1.0,1.0,0.0,numberbar_pos,0.2331401409819629,0.5844646331860297
